Average Infections, Infection Prob., Susceptibility Prob.
0.0, 0.0, 0.0
0.0, 0.0, 0.05
0.0, 0.0, 0.1
0.0, 0.0, 0.15000000000000002
0.0, 0.0, 0.2
0.0, 0.0, 0.25
0.0, 0.0, 0.30000000000000004
0.0, 0.0, 0.35000000000000003
0.0, 0.0, 0.4
0.0, 0.0, 0.45
0.0, 0.0, 0.5
0.0, 0.0, 0.55
0.0, 0.0, 0.6000000000000001
0.0, 0.0, 0.65
0.0, 0.0, 0.7000000000000001
0.0, 0.0, 0.75
0.0, 0.0, 0.8
0.0, 0.0, 0.8500000000000001
0.0, 0.0, 0.9
0.0, 0.0, 0.9500000000000001
0.0, 0.0, 1.0
0.0, 0.05, 0.0
0.0, 0.05, 0.05
0.0, 0.05, 0.1
0.0, 0.05, 0.15000000000000002
0.0, 0.05, 0.2
0.0, 0.05, 0.25
0.0, 0.05, 0.30000000000000004
0.0, 0.05, 0.35000000000000003
0.0, 0.05, 0.4
0.0, 0.05, 0.45
0.0, 0.05, 0.5
0.0, 0.05, 0.55
0.0, 0.05, 0.6000000000000001
0.0, 0.05, 0.65
0.0, 0.05, 0.7000000000000001
0.0, 0.05, 0.75
0.0, 0.05, 0.8
0.0, 0.05, 0.8500000000000001
0.0, 0.05, 0.9
0.0, 0.05, 0.9500000000000001
0.0, 0.05, 1.0
0.0, 0.1, 0.0
0.0, 0.1, 0.05
0.0, 0.1, 0.1
0.0, 0.1, 0.15000000000000002
0.0, 0.1, 0.2
0.0, 0.1, 0.25
0.0, 0.1, 0.30000000000000004
0.0, 0.1, 0.35000000000000003
0.0, 0.1, 0.4
0.0, 0.1, 0.45
0.0, 0.1, 0.5
0.0, 0.1, 0.55
0.0, 0.1, 0.6000000000000001
0.0, 0.1, 0.65
0.0, 0.1, 0.7000000000000001
0.0, 0.1, 0.75
0.0, 0.1, 0.8
0.0, 0.1, 0.8500000000000001
0.0, 0.1, 0.9
0.0, 0.1, 0.9500000000000001
0.0, 0.1, 1.0
0.0, 0.15000000000000002, 0.0
0.0, 0.15000000000000002, 0.05
0.0, 0.15000000000000002, 0.1
0.0, 0.15000000000000002, 0.15000000000000002
0.0, 0.15000000000000002, 0.2
0.0, 0.15000000000000002, 0.25
0.0, 0.15000000000000002, 0.30000000000000004
0.0, 0.15000000000000002, 0.35000000000000003
0.0, 0.15000000000000002, 0.4
0.0, 0.15000000000000002, 0.45
0.0, 0.15000000000000002, 0.5
0.0, 0.15000000000000002, 0.55
0.0, 0.15000000000000002, 0.6000000000000001
0.0, 0.15000000000000002, 0.65
0.0, 0.15000000000000002, 0.7000000000000001
0.0, 0.15000000000000002, 0.75
0.0, 0.15000000000000002, 0.8
0.0, 0.15000000000000002, 0.8500000000000001
0.0, 0.15000000000000002, 0.9
0.0, 0.15000000000000002, 0.9500000000000001
0.0, 0.15000000000000002, 1.0
0.0, 0.2, 0.0
0.0, 0.2, 0.05
0.0, 0.2, 0.1
0.0, 0.2, 0.15000000000000002
0.0, 0.2, 0.2
0.0, 0.2, 0.25
0.0, 0.2, 0.30000000000000004
0.0, 0.2, 0.35000000000000003
0.0, 0.2, 0.4
0.0, 0.2, 0.45
0.0, 0.2, 0.5
0.0, 0.2, 0.55
0.0, 0.2, 0.6000000000000001
0.0, 0.2, 0.65
0.0, 0.2, 0.7000000000000001
0.0, 0.2, 0.75
0.0, 0.2, 0.8
0.0, 0.2, 0.8500000000000001
0.0, 0.2, 0.9
0.0, 0.2, 0.9500000000000001
0.0, 0.2, 1.0
0.0, 0.25, 0.0
0.0, 0.25, 0.05
0.0, 0.25, 0.1
0.0, 0.25, 0.15000000000000002
0.0, 0.25, 0.2
0.0, 0.25, 0.25
0.0, 0.25, 0.30000000000000004
0.0, 0.25, 0.35000000000000003
0.0, 0.25, 0.4
0.17130144605116795, 0.25, 0.45
0.0, 0.25, 0.5
1.3325917686318132, 0.25, 0.55
0.028921023359288096, 0.25, 0.6000000000000001
1.1368186874304782, 0.25, 0.65
0.7174638487208009, 0.25, 0.7000000000000001
0.17686318131256953, 0.25, 0.75
1.6262513904338154, 0.25, 0.8
0.5828698553948832, 0.25, 0.8500000000000001
3.8375973303670747, 0.25, 0.9
2.7686318131256953, 0.25, 0.9500000000000001
1.9243604004449388, 0.25, 1.0
0.0, 0.30000000000000004, 0.0
0.0, 0.30000000000000004, 0.05
0.0, 0.30000000000000004, 0.1
0.0, 0.30000000000000004, 0.15000000000000002
0.0, 0.30000000000000004, 0.2
0.0, 0.30000000000000004, 0.25
0.0, 0.30000000000000004, 0.30000000000000004
3.670745272525028, 0.30000000000000004, 0.35000000000000003
12.912124582869856, 0.30000000000000004, 0.4
29.382647385984427, 0.30000000000000004, 0.45
13.508342602892103, 0.30000000000000004, 0.5
48.36929922135706, 0.30000000000000004, 0.55
156.06896551724137, 0.30000000000000004, 0.6000000000000001
160.3726362625139, 0.30000000000000004, 0.65
201.1523915461624, 0.30000000000000004, 0.7000000000000001
250.81868743047832, 0.30000000000000004, 0.75
263.39822024471636, 0.30000000000000004, 0.8
277.0100111234705, 0.30000000000000004, 0.8500000000000001
315.48387096774195, 0.30000000000000004, 0.9
